,unit,sex,age,region,year,value
14448,YR,F,Y1,AL,2020,79.4
14504,YR,F,Y10,AL,2020,70.5
14560,YR,F,Y11,AL,2020,69.5
14616,YR,F,Y12,AL,2020,68.5
14672,YR,F,Y13,AL,2020,67.5
14728,YR,F,Y14,AL,2020,66.5
14784,YR,F,Y15,AL,2020,65.5
14840,YR,F,Y16,AL,2020,64.5
14896,YR,F,Y17,AL,2020,63.5
14952,YR,F,Y18,AL,2020,62.5
15008,YR,F,Y19,AL,2020,61.5
15064,YR,F,Y2,AL,2020,78.4
15120,YR,F,Y20,AL,2020,60.5
15176,YR,F,Y21,AL,2020,59.6
15232,YR,F,Y22,AL,2020,58.6
15288,YR,F,Y23,AL,2020,57.6
15344,YR,F,Y24,AL,2020,56.6
15400,YR,F,Y25,AL,2020,55.6
15456,YR,F,Y26,AL,2020,54.6
15512,YR,F,Y27,AL,2020,53.6
15568,YR,F,Y28,AL,2020,52.6
15624,YR,F,Y29,AL,2020,51.6
15680,YR,F,Y3,AL,2020,77.4
15736,YR,F,Y30,AL,2020,50.6
15792,YR,F,Y31,AL,2020,49.7
15848,YR,F,Y32,AL,2020,48.7
15904,YR,F,Y33,AL,2020,47.7
15960,YR,F,Y34,AL,2020,46.7
16016,YR,F,Y35,AL,2020,45.8
16072,YR,F,Y36,AL,2020,44.8
16128,YR,F,Y37,AL,2020,43.8
16184,YR,F,Y38,AL,2020,42.8
16240,YR,F,Y39,AL,2020,41.9
16296,YR,F,Y4,AL,2020,76.4
16352,YR,F,Y40,AL,2020,40.9
16408,YR,F,Y41,AL,2020,39.9
16464,YR,F,Y42,AL,2020,38.9
16520,YR,F,Y43,AL,2020,38.0
16576,YR,F,Y44,AL,2020,37.0
16632,YR,F,Y45,AL,2020,36.1
16688,YR,F,Y46,AL,2020,35.1
16744,YR,F,Y47,AL,2020,34.1
16800,YR,F,Y48,AL,2020,33.2
16856,YR,F,Y49,AL,2020,32.3
16912,YR,F,Y5,AL,2020,75.4
16968,YR,F,Y50,AL,2020,31.3
17024,YR,F,Y51,AL,2020,30.4
17080,YR,F,Y52,AL,2020,29.4
17136,YR,F,Y53,AL,2020,28.5
17192,YR,F,Y54,AL,2020,27.6
17248,YR,F,Y55,AL,2020,26.6
17304,YR,F,Y56,AL,2020,25.7
17360,YR,F,Y57,AL,2020,24.8
17416,YR,F,Y58,AL,2020,23.9
17472,YR,F,Y59,AL,2020,23.0
17528,YR,F,Y6,AL,2020,74.4
17584,YR,F,Y60,AL,2020,22.1
17640,YR,F,Y61,AL,2020,21.2
17696,YR,F,Y62,AL,2020,20.3
17752,YR,F,Y63,AL,2020,19.4
17808,YR,F,Y64,AL,2020,18.5
17864,YR,F,Y65,AL,2020,17.7
17920,YR,F,Y66,AL,2020,16.8
17976,YR,F,Y67,AL,2020,16.0
18032,YR,F,Y68,AL,2020,15.1
18088,YR,F,Y69,AL,2020,14.3
18144,YR,F,Y7,AL,2020,73.4
18200,YR,F,Y70,AL,2020,13.5
18256,YR,F,Y71,AL,2020,12.7
18312,YR,F,Y72,AL,2020,12.0
18368,YR,F,Y73,AL,2020,11.2
18424,YR,F,Y74,AL,2020,10.4
18480,YR,F,Y75,AL,2020,9.6
18536,YR,F,Y76,AL,2020,8.9
18592,YR,F,Y77,AL,2020,8.2
18648,YR,F,Y78,AL,2020,7.6
18704,YR,F,Y79,AL,2020,7.0
18760,YR,F,Y8,AL,2020,72.4
18816,YR,F,Y80,AL,2020,6.3
