,unit,sex,age,region,year,value
43360,YR,F,Y1,EEA30_2007,2018,82.9
43416,YR,F,Y10,EEA30_2007,2018,74.0
43472,YR,F,Y11,EEA30_2007,2018,73.0
43528,YR,F,Y12,EEA30_2007,2018,72.0
43584,YR,F,Y13,EEA30_2007,2018,71.0
43640,YR,F,Y14,EEA30_2007,2018,70.0
43696,YR,F,Y15,EEA30_2007,2018,69.0
43752,YR,F,Y16,EEA30_2007,2018,68.0
43808,YR,F,Y17,EEA30_2007,2018,67.1
43864,YR,F,Y18,EEA30_2007,2018,66.1
43920,YR,F,Y19,EEA30_2007,2018,65.1
43976,YR,F,Y2,EEA30_2007,2018,82.0
44032,YR,F,Y20,EEA30_2007,2018,64.1
44088,YR,F,Y21,EEA30_2007,2018,63.1
44144,YR,F,Y22,EEA30_2007,2018,62.1
44200,YR,F,Y23,EEA30_2007,2018,61.1
44256,YR,F,Y24,EEA30_2007,2018,60.1
44312,YR,F,Y25,EEA30_2007,2018,59.2
44368,YR,F,Y26,EEA30_2007,2018,58.2
44424,YR,F,Y27,EEA30_2007,2018,57.2
44480,YR,F,Y28,EEA30_2007,2018,56.2
44536,YR,F,Y29,EEA30_2007,2018,55.2
44592,YR,F,Y3,EEA30_2007,2018,81.0
44648,YR,F,Y30,EEA30_2007,2018,54.2
44704,YR,F,Y31,EEA30_2007,2018,53.2
44760,YR,F,Y32,EEA30_2007,2018,52.3
44816,YR,F,Y33,EEA30_2007,2018,51.3
44872,YR,F,Y34,EEA30_2007,2018,50.3
44928,YR,F,Y35,EEA30_2007,2018,49.3
44984,YR,F,Y36,EEA30_2007,2018,48.3
45040,YR,F,Y37,EEA30_2007,2018,47.4
45096,YR,F,Y38,EEA30_2007,2018,46.4
45152,YR,F,Y39,EEA30_2007,2018,45.4
45208,YR,F,Y4,EEA30_2007,2018,80.0
45264,YR,F,Y40,EEA30_2007,2018,44.4
45320,YR,F,Y41,EEA30_2007,2018,43.5
45376,YR,F,Y42,EEA30_2007,2018,42.5
